Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
1st,PAS,Giannina,26,10,2,1,27,12,6,3,4,14,11,53,,4-1-2-2-1 High pressing (compact), 41-23,53,26,16_5_5
1st,PAS,Giannina,26,8,4,1,27,7,9,0,4,26,19,55,,4-1-2-2-1 High pressing (compact), 53-26,55,26,17_4_5
1st,PAS,Giannina,26,10,3,0,34,17,4,6,3,20,15,51,,4-1-2-2-1 High pressing (compact), 54-32,51,26,14_9_3
1st,PAS,Giannina,26,10,2,1,36,16,9,4,0,24,14,63,,4-1-2-2-1 High pressing (compact), 60-30,63,26,19_6_1
1st,PAS,Giannina,26,8,4,1,27,11,6,4,3,19,13,50,,4-1-2-2-1 High pressing (compact), 46-24,50,26,14_8_4
1st,PAS,Giannina,26,10,1,2,33,14,8,2,3,22,14,57,,4-1-2-2-1 High pressing (compact), 55-28,57,26,18_3_5
1st,PAS,Giannina,26,11,1,1,36,12,7,4,2,24,11,59,,4-1-2-2-1 High pressing (compact), 60-23,59,26,18_5_3
1st,PAS,Giannina,26,11,1,1,33,9,9,4,0,29,9,65,,4-1-2-2-1 High pressing (compact), 62-18,65,26,20_5_1
1st,PAS,Giannina,26,9,2,2,32,17,6,5,2,17,10,52,,4-1-2-2-1 High pressing (compact), 49-27,52,26,15_7_4
2nd,PAS,Giannina,26,8,2,3,24,12,7,3,3,25,16,50,,4-1-2-2-1 High pressing (compact), 49-28,50,26,15_5_6
1st,PAS,Giannina,26,11,1,1,37,13,6,3,4,27,21,55,,4-1-2-2-1 High pressing (compact), 64-34,55,26,17_4_5
1st,PAS,Giannina,26,9,2,2,32,19,7,4,2,27,13,54,,4-1-2-2-1 High pressing (compact), 59-32,54,26,16_6_4
1st,PAS,Giannina,26,9,4,0,24,8,10,2,1,33,16,63,,4-1-2-2-1 High pressing (compact), 57-24,63,26,19_6_1
2nd,PAS,Giannina,26,9,3,1,26,10,8,2,3,28,14,56,,4-1-2-2-1 High pressing (compact), 54-24,56,26,17_5_4
1st,PAS,Giannina,26,11,1,1,35,7,7,5,1,21,10,60,,4-1-2-2-1 High pressing (compact), 56-17,60,26,18_6_2
1st,PAS,Giannina,26,10,2,1,28,8,9,1,3,24,10,60,,4-1-2-2-1 High pressing (compact), 52-18,60,26,19_3_4
5th,PAS,Giannina,26,8,2,3,28,10,4,3,6,16,16,41,,4-1-2-2-1 High pressing (compact), 44-26,41,26,12_5_9
1st,PAS,Giannina,26,12,0,1,36,15,6,6,1,20,10,60,,4-1-2-2-1 High pressing (compact), 56-25,60,26,18_6_2
1st,PAS,Giannina,26,12,1,0,37,10,4,8,1,19,14,57,,4-1-2-2-1 High pressing (compact), 56-24,57,26,16_9_1
2nd,PAS,Giannina,26,9,1,3,31,13,8,4,1,23,13,56,,4-1-2-2-1 High pressing (compact), 54-26,56,26,17_5_4
1st,PAS,Giannina,26,9,2,2,34,13,7,5,1,30,10,55,,4-1-2-2-1 High pressing (compact), 64-23,55,26,16_7_3
1st,PAS,Giannina,26,10,2,1,29,8,7,4,2,18,8,57,,4-1-2-2-1 High pressing (compact), 47-16,57,26,17_6_3
2nd,PAS,Giannina,26,10,2,1,33,12,7,2,4,24,14,55,,4-1-2-2-1 High pressing (compact), 57-26,55,26,17_4_5
1st,PAS,Giannina,26,11,2,0,32,12,9,3,1,27,13,65,,4-1-2-2-1 High pressing (compact), 59-25,65,26,20_5_1
2nd,PAS,Giannina,26,10,1,2,29,14,6,4,3,17,14,53,,4-1-2-2-1 High pressing (compact), 46-28,53,26,16_5_5
1st,PAS,Giannina,26,12,1,0,36,11,5,7,1,25,18,59,,4-1-2-2-1 High pressing (compact), 61-29,59,26,17_8_1
1st,PAS,Giannina,26,10,3,0,33,16,8,3,2,27,10,60,,4-1-2-2-1 High pressing (compact), 60-26,60,26,18_6_2
3rd,PAS,Giannina,26,10,1,2,33,13,5,3,5,23,20,49,,4-1-2-2-1 High pressing (compact), 56-33,49,26,15_4_7
2nd,PAS,Giannina,26,8,4,1,27,16,6,5,2,20,11,51,,4-1-2-2-1 High pressing (compact), 47-27,51,26,14_9_3
2nd,PAS,Giannina,26,10,3,0,28,11,4,3,6,18,14,48,,4-1-2-2-1 High pressing (compact), 46-25,48,26,14_6_6
1st,PAS,Giannina,26,10,3,0,29,10,6,3,4,25,18,54,,4-1-2-2-1 High pressing (compact), 54-28,54,26,16_6_4
1st,PAS,Giannina,26,8,3,2,30,15,10,1,2,26,7,58,,4-1-2-2-1 High pressing (compact), 56-22,58,26,18_4_4
1st,PAS,Giannina,26,10,2,1,33,10,8,2,3,29,16,58,,4-1-2-2-1 High pressing (compact), 62-26,58,26,18_4_4
2nd,PAS,Giannina,26,11,1,1,30,11,6,5,2,22,14,57,,4-1-2-2-1 High pressing (compact), 52-25,57,26,17_6_3
2nd,PAS,Giannina,26,12,0,1,27,8,4,4,5,19,17,52,,4-1-2-2-1 High pressing (compact), 46-25,52,26,16_4_6
1st,PAS,Giannina,26,9,2,2,34,10,10,2,1,26,11,61,,4-1-2-2-1 High pressing (compact), 60-21,61,26,19_4_3
1st,PAS,Giannina,26,11,2,0,30,11,8,4,1,25,12,63,,4-1-2-2-1 High pressing (compact), 55-23,63,26,19_6_1
2nd,PAS,Giannina,26,8,5,0,30,14,5,5,3,19,18,49,,4-1-2-2-1 High pressing (compact), 49-32,49,26,13_10_3
1st,PAS,Giannina,26,10,1,2,29,10,8,5,0,24,11,60,,4-1-2-2-1 High pressing (compact), 53-21,60,26,18_6_2
1st,PAS,Giannina,26,11,2,0,34,11,7,3,3,21,15,59,,4-1-2-2-1 High pressing (compact), 55-26,59,26,18_5_3
1st,PAS,Giannina,26,11,1,1,32,10,5,4,4,17,16,53,,4-1-2-2-1 High pressing (compact), 49-26,53,26,16_5_5
1st,PAS,Giannina,26,11,1,1,34,9,8,5,0,26,11,63,,4-1-2-2-1 High pressing (compact), 60-20,63,26,19_6_1
2nd,PAS,Giannina,26,9,2,2,21,7,7,3,3,18,13,53,,4-1-2-2-1 High pressing (compact), 39-20,53,26,16_5_5
1st,PAS,Giannina,26,10,3,0,35,13,8,4,1,22,10,61,,4-1-2-2-1 High pressing (compact), 57-23,61,26,18_7_1
3rd,PAS,Giannina,26,9,3,1,29,10,4,2,7,19,21,44,,4-1-2-2-1 High pressing (compact), 48-31,44,26,13_5_8
1st,PAS,Giannina,26,9,4,0,26,8,7,4,2,20,14,56,,4-1-2-2-1 High pressing (compact), 46-22,56,26,16_8_2
2nd,PAS,Giannina,26,8,4,1,30,11,4,4,5,17,17,44,,4-1-2-2-1 High pressing (compact), 47-28,44,26,12_8_6
3rd,PAS,Giannina,26,6,6,1,22,10,7,3,3,20,12,48,,4-1-2-2-1 High pressing (compact), 42-22,48,26,13_9_4
1st,PAS,Giannina,26,10,2,1,31,14,7,3,3,18,13,56,,4-1-2-2-1 High pressing (compact), 49-27,56,26,17_5_4
1st,PAS,Giannina,26,11,0,2,37,11,5,3,5,20,20,51,,4-1-2-2-1 High pressing (compact), 57-31,51,26,16_3_7
1st,PAS,Giannina,26,11,1,1,27,11,8,4,1,27,10,62,,4-1-2-2-1 High pressing (compact), 54-21,62,26,19_5_2
1st,PAS,Giannina,26,10,1,2,25,8,11,1,1,28,13,65,,4-1-2-2-1 High pressing (compact), 53-21,65,26,21_2_3
