Pos,Team, ,Pld,Won,Drn,Lst,For,Ag,Won,Drn,Lst,For,Ag,Pts, ,tactic_name, scored-conceded, points, games, wins_draws_losses
3rd,PAS,Giannina,26,6,5,2,24,15,6,4,3,22,17,45,,4-1-2-2-1 High pressing (uppgraded), 46-32,45,26,12_9_5
1st,PAS,Giannina,26,8,3,2,25,15,7,4,2,24,14,52,,4-1-2-2-1 High pressing (uppgraded), 49-29,52,26,15_7_4
1st,PAS,Giannina,26,12,1,0,31,9,7,3,3,22,14,61,,4-1-2-2-1 High pressing (uppgraded), 53-23,61,26,19_4_3
2nd,PAS,Giannina,26,9,4,0,28,6,7,1,5,20,18,53,,4-1-2-2-1 High pressing (uppgraded), 48-24,53,26,16_5_5
3rd,PAS,Giannina,26,9,2,2,23,11,4,2,7,13,14,43,,4-1-2-2-1 High pressing (uppgraded), 36-25,43,26,13_4_9
2nd,PAS,Giannina,26,7,4,2,30,15,9,1,3,25,16,53,,4-1-2-2-1 High pressing (uppgraded), 55-31,53,26,16_5_5
2nd,PAS,Giannina,26,11,1,1,34,8,7,1,5,21,18,56,,4-1-2-2-1 High pressing (uppgraded), 55-26,56,26,18_2_6
3rd,PAS,Giannina,26,9,1,3,25,13,3,6,4,14,17,43,,4-1-2-2-1 High pressing (uppgraded), 39-30,43,26,12_7_7
2nd,PAS,Giannina,26,8,5,0,27,11,7,5,1,26,15,55,,4-1-2-2-1 High pressing (uppgraded), 53-26,55,26,15_10_1
1st,PAS,Giannina,26,10,1,2,31,10,5,4,4,16,13,50,,4-1-2-2-1 High pressing (uppgraded), 47-23,50,26,15_5_6
2nd,PAS,Giannina,26,10,1,2,26,11,6,2,5,18,11,51,,4-1-2-2-1 High pressing (uppgraded), 44-22,51,26,16_3_7
1st,PAS,Giannina,26,9,2,2,33,16,9,4,0,27,10,60,,4-1-2-2-1 High pressing (uppgraded), 60-26,60,26,18_6_2
2nd,PAS,Giannina,26,7,5,1,24,14,4,5,4,23,18,43,,4-1-2-2-1 High pressing (uppgraded), 47-32,43,26,11_10_5
1st,PAS,Giannina,26,11,1,1,36,10,8,3,2,21,8,61,,4-1-2-2-1 High pressing (uppgraded), 57-18,61,26,19_4_3
1st,PAS,Giannina,26,12,0,1,30,5,5,5,3,21,15,56,,4-1-2-2-1 High pressing (uppgraded), 51-20,56,26,17_5_4
1st,PAS,Giannina,26,10,3,0,32,12,9,1,3,21,10,61,,4-1-2-2-1 High pressing (uppgraded), 53-22,61,26,19_4_3
1st,PAS,Giannina,26,8,4,1,27,14,6,3,4,17,13,49,,4-1-2-2-1 High pressing (uppgraded), 44-27,49,26,14_7_5
2nd,PAS,Giannina,26,9,3,1,30,10,7,2,4,25,18,53,,4-1-2-2-1 High pressing (uppgraded), 55-28,53,26,16_5_5
